no_head,,,,,,,,,,,,,,,,,,,,,,,,
2005668, BCD2005668,3,47.7833,-64.0333,10,260780," ""Jun 15 2005"""," ""13:08:27""",22.16287,6.83117, ,28.7595, ,9.4934,1, ,10, , , , , , ,3.2609
2005668, BCD2005668,3,47.7833,-64.0333,9,260779," ""Jun 15 2005"""," ""13:08:27""",22.18811,6.05045, ,28.7685, ,9.3735,5, ,9, , , , , , ,4.6295
2005668, BCD2005668,3,47.7833,-64.0333,8,260778," ""Jun 15 2005"""," ""13:08:27""",22.52164,6.21314, ,28.9766, ,8.1919,10, ,8, , , , , , ,5.6362
2005668, BCD2005668,3,47.7833,-64.0333,7,260777," ""Jun 15 2005"""," ""13:08:27""",23.67057,6.30793, ,29.7361, ,3.1915,20, ,7, , , , , , ,0.77708
2005668, BCD2005668,3,47.7833,-64.0333,6,260776," ""Jun 15 2005"""," ""13:08:27""",24.28849,6.46758, ,30.4217, ,2.249,30, ,6, , , , , , ,0.6422
2005668, BCD2005668,3,47.7833,-64.0333,5,260775," ""Jun 15 2005"""," ""13:08:27""",24.63826,6.50328, ,30.7922, ,1.4337,40, ,5, , , , , , ,0.54645
2005668, BCD2005668,3,47.7833,-64.0333,4,260774," ""Jun 15 2005"""," ""13:08:27""",24.96835,6.20603, ,31.1009, ,-0.2204,50, ,4, , , , , , ,0.39949
2005668, BCD2005668,3,47.7833,-64.0333,3,260773," ""Jun 15 2005"""," ""13:08:27""",25.46413,5.65846, ,31.7203, ,-0.1145,60, ,3, , , , , , ,0.37595
2005668, BCD2005668,3,47.7833,-64.0333,2,260772," ""Jun 15 2005"""," ""13:08:27""",25.55528,5.31811, ,31.8348, ,-0.0843,70, ,2, , , , , , ,0.38468
2005668, BCD2005668,3,47.7833,-64.0333,1,260771," ""Jun 15 2005"""," ""13:08:27""",25.67871,5.08678, ,31.9905, ,-0.0327,76, ,1, , , , , , ,0.38454
2005668, BCD2005668,4,47.7833,-64.0333,10,260790," ""Oct 05 2005"""," ""15:09:08""",22.03349,4.56145, ,28.9535, ,11.2286,2, ,10, , , , , , ,2.3856
2005668, BCD2005668,4,47.7833,-64.0333,9,260789," ""Oct 05 2005"""," ""15:09:08""",22.03599,4.57311, ,28.954, ,11.2166,5, ,9, , , , , , ,3.3243
2005668, BCD2005668,4,47.7833,-64.0333,8,260788," ""Oct 05 2005"""," ""15:09:08""",22.03639,4.57213, ,28.9526, ,11.2085,10, ,8, , , , , , ,3.5352
2005668, BCD2005668,4,47.7833,-64.0333,7,260787," ""Oct 05 2005"""," ""15:09:08""",22.04842,4.56324, ,28.9565, ,11.1568,20, ,7, , , , , , ,3.4294
2005668, BCD2005668,4,47.7833,-64.0333,6,260786," ""Oct 05 2005"""," ""15:09:08""",23.02818,4.36467, ,29.6563, ,8.3781,30, ,6, , , , , , ,0.95238
2005668, BCD2005668,4,47.7833,-64.0333,5,260785," ""Oct 05 2005"""," ""15:09:08""",24.35977,4.44291, ,30.6309, ,3.4735,40, ,5, , , , , , ,0.60959
2005668, BCD2005668,4,47.7833,-64.0333,4,260784," ""Oct 05 2005"""," ""15:09:08""",25.05494,4.45146, ,31.3184, ,1.5209,50, ,4, , , , , , ,0.42177
2005668, BCD2005668,4,47.7833,-64.0333,3,260783," ""Oct 05 2005"""," ""15:09:08""",25.36157,4.39652, ,31.6487, ,0.8165,60, ,3, , , , , , ,0.34432
2005668, BCD2005668,4,47.7833,-64.0333,2,260782," ""Oct 05 2005"""," ""15:09:08""",25.60338,4.20841, ,31.9233, ,0.4182,70, ,2, , , , , , ,0.36169
2005668, BCD2005668,4,47.7833,-64.0333,1,260781," ""Oct 05 2005"""," ""15:09:08""",25.67846,3.87618, ,32.0078, ,0.2759,80, ,1, , , , , , ,0.43956
2005668, BCD2005668,2,47.7833,-64.0333,10,260770," ""Jun 01 2005"""," ""21:56:22""",22.81471,6.51437, ,29.1687, ,7.1154,1.5, ,10, , , , , , ,0.99369
2005668, BCD2005668,2,47.7833,-64.0333,9,260769," ""Jun 01 2005"""," ""21:56:22""",22.94632,6.44587, ,29.1903, ,6.1678,5, ,9, , , , , , ,1.0467
2005668, BCD2005668,2,47.7833,-64.0333,8,260768," ""Jun 01 2005"""," ""21:56:22""",23.19731,6.5581, ,29.221, ,3.9449,10, ,8, , , , , , ,0.91287
2005668, BCD2005668,2,47.7833,-64.0333,7,260767," ""Jun 01 2005"""," ""21:56:22""",23.85332,6.74234, ,29.8997, ,2.5033,20, ,7, , , , , , ,1.0082
2005668, BCD2005668,2,47.7833,-64.0333,6,260766," ""Jun 01 2005"""," ""21:56:22""",24.23851,6.82518, ,30.3065, ,1.6038,30, ,6, , , , , , ,0.58576
2005668, BCD2005668,2,47.7833,-64.0333,5,260765," ""Jun 01 2005"""," ""21:56:22""",24.56488,6.81383, ,30.6631, ,0.8963,40, ,5, , , , , , ,0.4923
2005668, BCD2005668,2,47.7833,-64.0333,4,260764," ""Jun 01 2005"""," ""21:56:22""",24.71267,6.72299, ,30.8088, ,0.2656,50, ,4, , , , , , ,0.47341
2005668, BCD2005668,2,47.7833,-64.0333,3,260763," ""Jun 01 2005"""," ""21:56:22""",24.87369,6.61777, ,30.9789, ,-0.3233,60, ,3, , , , , , ,0.46481
