no_head,,,,,,,,,,,,,,,,,,,,,,,,,
866610, BCD2008666,1,44.266667,-63.316667,10,306570," ""Jan 04 2008"""," ""14:49:58""",24.9487,6.9344, ,31.2839,501,2.6376,2.203,2.83127,10, , , , , , ,-1.5595,1.61E-01
866610, BCD2008666,1,44.266667,-63.316667,9,306569," ""Jan 04 2008"""," ""14:53:56""",24.9464,7.06136, ,31.2826,1914,2.6543,5.589,2.832655,9, , , , , , ,-1.5595,1.59E-01
866610, BCD2008666,1,44.266667,-63.316667,8,306568," ""Jan 04 2008"""," ""14:54:05""",24.9466,7.08864, ,31.2832,1990,2.6578,10.899,2.83321,8, , , , , , ,-1.5584,1.68E-01
866610, BCD2008666,1,44.266667,-63.316667,7,306567," ""Jan 04 2008"""," ""14:54:22""",24.9501,7.10207, ,31.2889,2128,2.672,20.463,2.835231,7, , , , , , ,-1.5573,1.58E-01
866610, BCD2008666,1,44.266667,-63.316667,6,306566," ""Jan 04 2008"""," ""14:54:41""",24.9625,7.10648, ,31.3073,2279,2.7012,30.58,2.839512,6, , , , , , ,-1.5595,1.62E-01
866610, BCD2008666,1,44.266667,-63.316667,5,306565," ""Jan 04 2008"""," ""14:55:07""",24.9668,7.10235, ,31.3149,2482,2.7256,40.467,2.842528,5, , , , , , ,-1.5584,1.54E-01
866610, BCD2008666,1,44.266667,-63.316667,4,306564," ""Jan 04 2008"""," ""14:55:24""",24.9666,7.10263, ,31.3172,2621,2.7509,51.173,2.845212,4, , , , , , ,-1.5562,1.56E-01
866610, BCD2008666,1,44.266667,-63.316667,3,306563," ""Jan 04 2008"""," ""14:56:06""",25.4082,6.86968, ,31.9095,2960,3.1289,75.815,2.925965,3, , , , , , ,-1.5573,1.08E-01
866610, BCD2008666,1,44.266667,-63.316667,2,306562," ""Jan 04 2008"""," ""14:57:05""",25.9315,6.25918, ,32.5342,3426,2.8351,100.919,2.954379,2, , , , , , ,-1.5584,8.62E-02
866610, BCD2008666,1,44.266667,-63.316667,1,306561," ""Jan 04 2008"""," ""14:58:32""",26.2603,5.61225, ,33.0102,4124,3.4172,140.703,3.044418,1, , , , , , ,-1.5595,8.62E-02
866610, BCD2008666,2,44.266667,-63.316667,10,306580," ""Feb 05 2008"""," ""15:21:13""",25.0879,6.80257, ,31.3175,509,0.9497,2.128,2.699629,10, , , , , , ,-1.5573,1.90E-01
866610, BCD2008666,2,44.266667,-63.316667,9,306579," ""Feb 05 2008"""," ""15:24:23""",25.0906,7.51801, ,31.3202,2032,0.9403,5.365,2.699241,9, , , , , , ,-1.5573,1.90E-01
866610, BCD2008666,2,44.266667,-63.316667,8,306578," ""Feb 05 2008"""," ""15:24:36""",25.0931,7.54572, ,31.3229,2131,0.9336,10.391,2.699138,8, , , , , , ,-1.5584,2.25E-01
866610, BCD2008666,2,44.266667,-63.316667,7,306577," ""Feb 05 2008"""," ""15:25:01""",25.1005,7.56531, ,31.331,2335,0.9189,21.088,2.699076,7, , , , , , ,-1.5573,2.62E-01
866610, BCD2008666,2,44.266667,-63.316667,6,306576," ""Feb 05 2008"""," ""15:25:26""",25.1415,7.56344, ,31.3872,2532,0.9942,30.539,2.709834,6, , , , , , ,-1.5573,2.22E-01
866610, BCD2008666,2,44.266667,-63.316667,5,306575," ""Feb 05 2008"""," ""15:25:52""",25.2396,7.54705, ,31.5166,2741,1.0973,39.725,2.728558,5, , , , , , ,-1.5584,2.40E-01
866610, BCD2008666,2,44.266667,-63.316667,4,306574," ""Feb 05 2008"""," ""15:26:19""",25.2622,7.50708, ,31.5512,2954,1.1856,50.756,2.738785,4, , , , , , ,-1.5595,1.99E-01
866610, BCD2008666,2,44.266667,-63.316667,3,306573," ""Feb 05 2008"""," ""15:27:26""",25.5317,7.22107, ,32.0725,3496,3.2038,76.224,2.94568,3, , , , , , ,-1.5573,1.73E-01
866610, BCD2008666,2,44.266667,-63.316667,2,306572," ""Feb 05 2008"""," ""15:28:39""",25.9086,6.4178, ,32.5143,4075,2.9193,101.227,2.959761,2, , , , , , ,-1.5595,9.65E-02
866610, BCD2008666,2,44.266667,-63.316667,1,306571," ""Feb 05 2008"""," ""15:30:59""",26.6315,4.67614, ,33.8102,5197,5.8595,141.372,3.324916,1, , , , , , ,-1.5584,8.10E-02
866610, BCD2008666,3,44.266667,-63.316667,10,306590," ""Jun 19 2008"""," ""14:10:40""",24.0136,6.01496, ,31.1995,882,9.8314,1.354,3.420357,10, , , , , , ,-1.5562,1.70E-01
866610, BCD2008666,3,44.266667,-63.316667,9,306589," ""Jun 19 2008"""," ""14:13:34""",24.0452,6.14595, ,31.2041,2277,9.6575,5.515,3.406128,9, , , , , , ,-1.5573,1.83E-01
866610, BCD2008666,3,44.266667,-63.316667,8,306588," ""Jun 19 2008"""," ""14:13:49""",24.1597,6.24115, ,31.2335,2394,9.0718,10.075,3.35927,8, , , , , , ,-1.5551,2.67E-01
866610, BCD2008666,3,44.266667,-63.316667,7,306587," ""Jun 19 2008"""," ""14:14:15""",24.9273,6.17509, ,31.4892,2604,4.6763,20.08,3.015104,7, , , , , , ,-1.5562,3.32E-01
866610, BCD2008666,3,44.266667,-63.316667,6,306586," ""Jun 19 2008"""," ""14:14:38""",25.3338,6.55323, ,31.8141,2789,3.1064,31.171,2.914265,6, , , , , , ,-1.5562,3.75E-01
866610, BCD2008666,3,44.266667,-63.316667,5,306585," ""Jun 19 2008"""," ""14:15:02""",25.4707,6.58377, ,31.858,2984,1.7769,41.216,2.810163,5, , , , , , ,-1.5562,1.26E-01
866610, BCD2008666,3,44.266667,-63.316667,4,306584," ""Jun 19 2008"""," ""14:15:28""",25.5675,6.54774, ,31.9797,3188,1.788,50.74,2.821215,4, , , , , , ,-1.5584,1.09E-01
866610, BCD2008666,3,44.266667,-63.316667,3,306583," ""Jun 19 2008"""," ""14:16:43""",25.6564,6.45122, ,32.0943,3785,1.8318,76.024,2.835052,3, , , , , , ,-1.554,8.71E-02
866610, BCD2008666,3,44.266667,-63.316667,2,306582," ""Jun 19 2008"""," ""14:17:49""",25.8189,6.25246, ,32.3035,4316,1.9046,100.935,2.85884,2, , , , , , ,-1.5573,8.49E-02
866610, BCD2008666,3,44.266667,-63.316667,1,306581," ""Jun 19 2008"""," ""14:19:55""",26.4686,4.81323, ,33.526,5325,5.3439,140.385,3.254439,1, , , , , , ,-1.5551,8.06E-02
866610, BCD2008666,4,44.2682,-63.316743,10,306600," ""Nov 13 2008"""," ""14:21:17""",22.9569,5.26304, ,30.0112,501,10.6293,1.495,3.368795,10, , , , , , ,-1.5595,5.20E-01
866610, BCD2008666,4,44.2682,-63.316743,9,306599," ""Nov 13 2008"""," ""14:25:01""",22.957,5.56449, ,30.0109,1804,10.6274,4.865,3.36875,9, , , , , , ,-1.554,5.26E-01
866610, BCD2008666,4,44.2682,-63.316743,8,306598," ""Nov 13 2008"""," ""14:25:16""",22.9574,5.65431, ,30.0108,1923,10.625,10.607,3.368769,8, , , , , , ,-1.5573,5.04E-01
866610, BCD2008666,4,44.2682,-63.316743,7,306597," ""Nov 13 2008"""," ""14:25:44""",22.9565,5.68404, ,30.01,2148,10.628,20.455,3.369336,7, , , , , , ,-1.5551,4.85E-01
866610, BCD2008666,4,44.2682,-63.316743,6,306596," ""Nov 13 2008"""," ""14:26:14""",23.554,5.56039, ,30.6799,2385,10.1702,30.33,3.398749,6, , , , , , ,-1.554,2.15E-01
866610, BCD2008666,4,44.2682,-63.316743,5,306595," ""Nov 13 2008"""," ""14:26:43""",24.177,5.39559, ,31.2414,2622,9.0023,40.85,3.355416,5, , , , , , ,-1.5551,1.15E-01
866610, BCD2008666,4,44.2682,-63.316743,4,306594," ""Nov 13 2008"""," ""14:27:12""",25.3731,5.31969, ,32.287,2849,6.3002,50.906,3.223188,4, , , , , , ,-1.5562,9.78E-02
866610, BCD2008666,4,44.2682,-63.316743,3,306593," ""Nov 13 2008"""," ""14:28:26""",26.0513,5.57139, ,32.609,3444,2.0727,75.532,2.896097,3, , , , , , ,-1.5573,6.77E-02
866610, BCD2008666,4,44.2682,-63.316743,2,306592," ""Nov 13 2008"""," ""14:29:42""",26.3151,5.32067, ,33.0862,4050,3.4761,101.119,3.054005,2, , , , , , ,-1.5562,5.39E-02
866610, BCD2008666,4,44.2682,-63.316743,1,306591," ""Nov 13 2008"""," ""14:31:53""",26.6463,4.16049, ,33.8853,5097,6.215,141.288,3.363179,1, , , , , , ,-1.5518,6.12E-02
